,Solvent
12243,C1=C(c2ccccc2)C(c2ccccc2)=CC1c1ccccc1
12259,CCC(C)(C)O
12369,CCn1c(-c2ccc(OC)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(OC)cc1
12370,CCn1c(-c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(N(c2ccccc2)c2cccc3ccccc23)cc1
12371,CCn1c(-c2ccc(-c3cccc4ccccc34)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(-c2cccc3ccccc23)cc1
12372,CCn1c(-c2ccc(-c3ccc4ccc5cccc6ccc3c4c56)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(-c2ccc3ccc4cccc5ccc2c3c45)cc1
12373,CCn1c(-c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)cc1
12374,CCn1c(-c2ccc(-c3ccc4c(c3)C(c3ccccc3)(c3ccccc3)c3ccccc3-4)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(-c2ccc3c(c2)C(c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1
12375,CCn1c(-c2ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3ccccc3-4)cc2)c(-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1-c1ccc(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2ccccc2-3)cc1
12493,Cc1c2c(nc3ccccc13)-c1cc3c(cc1CC2)-c1nc2ccccc2c(C)c1CC3
12494,CCCCc1c2c(nc3ccccc13)-c1cc3c(cc1CC2)-c1nc2ccccc2c(CCCC)c1CC3
12495,c1ccc(-c2c3c(nc4ccccc24)-c2cc4c(cc2CC3)-c2nc3ccccc3c(-c3ccccc3)c2CC4)cc1
12496,c1ccc2c(-c3ccncc3)c3c(nc2c1)-c1cc2c(cc1CC3)-c1nc3ccccc3c(-c3ccncc3)c1CC2
12497,CCCCC1(CCCC)c2ccccc2-c2ccc(-c3c4c(nc5ccccc35)-c3cc5c(cc3CC4)-c3nc4ccccc4c(-c4ccc6c(c4)C(CCCC)(CCCC)c4ccccc4-6)c3CC5)cc21
12498,c1ccc2c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3c(nc2c1)-c1cc2c(cc1CC3)-c1nc3ccccc3c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c1CC2
12499,COc1ccc(-c2ccc(-c3c4c(nc5ccccc35)-c3cc5c(cc3CC4)-c3nc4ccccc4c(-c4ccc(-c6ccc(OC)cc6)cc4)c3CC5)cc2)cc1
12500,CC(C)(C)c1ccc(-c2ccc(-c3c4c(nc5ccccc35)-c3cc5c(cc3CC4)-c3nc4ccccc4c(-c4ccc(-c6ccc(C(C)(C)C)cc6)cc4)c3CC5)cc2)cc1
12521,F[B-]1(F)OC(c2ccccc2)=C(c2ccccc2)c2oc3ccccc3[n+]21
12522,CCOC(=O)c1ccc(C2=C(c3ccccc3)c3oc4ccccc4[n+]3[B-](F)(F)O2)cc1
12523,CN(C)c1ccc(C2=C(c3ccccc3)c3oc4ccccc4[n+]3[B-](F)(F)O2)cc1
12524,F[B-]1(F)OC(c2ccccc2)=C(c2ccccc2)c2sc3ccccc3[n+]21
12525,CCOC(=O)c1ccc(C2=C(c3ccccc3)c3sc4ccccc4[n+]3[B-](F)(F)O2)cc1
12526,CN(C)c1ccc(C2=C(c3ccccc3)c3sc4ccccc4[n+]3[B-](F)(F)O2)cc1
12553,CCCCC(CC)Cn1c2cc(C#N)ccc2c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21
12554,CCCCC(CC)Cn1c2cc(C#N)ccc2c2ccc(C#Cc3ccc4ccc5c(C#Cc6ccc7c8ccc(C#N)cc8n(CC(CC)CCCC)c7c6)ccc6ccc3c4c65)cc21
12555,CCCCC(CC)Cn1c2cc(C#N)ccc2c2ccc(C#Cc3ccc4ccc5ccc(C#Cc6ccc7c8ccc(C#N)cc8n(CC(CC)CCCC)c7c6)c6ccc3c4c56)cc21
12556,CCCCC(CC)Cn1c2cc(C#N)ccc2c2ccc(C#Cc3ccc4ccc5c(C#Cc6ccc7c8ccc(C#N)cc8n(CC(CC)CCCC)c7c6)cc(C#Cc6ccc7c8ccc(C#N)cc8n(CC(CC)CCCC)c7c6)c6ccc3c4c56)cc21
12557,CCCCC(CC)Cn1c2cc(C#N)ccc2c2ccc(C#Cc3cc(C#Cc4ccc5c6ccc(C#N)cc6n(CC(CC)CCCC)c5c4)c4ccc5c(C#Cc6ccc7c8ccc(C#N)cc8n(CC(CC)CCCC)c7c6)cc(C#Cc6ccc7c8ccc(C#N)cc8n(CC(CC)CCCC)c7c6)c6ccc3c4c65)cc21
12558,CCCCn1c2ccccc2c2cc(C#Cc3ccc4ccc5cccc6ccc3c4c56)ccc21
12559,CCCCn1c2ccccc2c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21
12564,Brc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Br)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1
12565,C(=C/c1cc(-c2ccccc2)c(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1-c1ccccc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1
12566,Cc1ccc(-c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C)cc3)cc2/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1
12567,C(=C/c1cc(-c2ccc3ccccc3c2)c(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1-c1ccc2ccccc2c1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1
12587,C(=C/c1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)\c1ccc(N(c2ccccc2)c2ccccc2)cc1
12594,C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)c5ccc(/C=C/c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)cc4)c4nsnc34)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1
12601,CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc(N(c4ccc(/C=C/c5ccc6c(c5)Sc5ccccc5N6CCCCCCCC)cc4)c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(c7ccc(/C=C/c8ccc(N(c9ccccc9)c9ccccc9)cc8)cc7)c7ccc(/C=C/c8ccc(N(c9ccccc9)c9ccccc9)cc8)cc7)cc6)c6nsnc56)cc4)cc3)ccc21
12608,CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc(N(c4ccc(/C=C/c5ccc6c(c5)Sc5ccccc5N6CCCCCCCC)cc4)c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)c7ccc(/C=C/c8ccc9c(c8)Sc8ccccc8N9CCCCCCCC)cc7)cc6)c6nsnc56)cc4)cc3)ccc21
12816,Cn1c(-c2ccc(-c3ccc(-c4ccc(-c5n(C)c6ccccc6[n+]5C)cc4)cc3)cc2)[n+](C)c2ccccc21
12817,CCn1c(-c2ccc(-c3ccc(-c4ccc(-c5n(CC)c6ccccc6[n+]5CC)cc4)cc3)cc2)[n+](CC)c2ccccc21
12818,CCCCn1c(-c2ccc(-c3ccc(-c4ccc(-c5n(CCCC)c6ccccc6[n+]5CCCC)cc4)cc3)cc2)[n+](CCCC)c2ccccc21
12819,Cc1ccc2c(c1)n(C)c(-c1ccc(-c3ccc(-c4ccc(-c5n(C)c6cc(C)ccc6[n+]5C)cc4)cc3)cc1)[n+]2C
12820,CCn1c(-c2ccc(-c3ccc(-c4ccc(-c5n(CC)c6cc(C)ccc6[n+]5CC)cc4)cc3)cc2)[n+](CC)c2ccc(C)cc21
12821,CCCCn1c(-c2ccc(-c3ccc(-c4ccc(-c5n(CCCC)c6cc(C)ccc6[n+]5CCCC)cc4)cc3)cc2)[n+](CCCC)c2ccc(C)cc21
12822,Cc1cc(-c2ccc(-c3n(C)c4ccccc4[n+]3C)cc2)ccc1-c1ccc(-c2n(C)c3ccccc3[n+]2C)cc1
12823,CCn1c(-c2ccc(-c3ccc(-c4ccc(-c5n(CC)c6ccccc6[n+]5CC)cc4)c(C)c3)cc2)[n+](CC)c2ccccc21
12835,O=C(c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1
12836,O=C(c1ccc(/C(=C(/c2ccccc2)c2ccc(C(=O)c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)c2ccccc2)cc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1
12837,O=C(c1ccc(C(=C(c2ccc(C(=O)c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)c2ccc(C(=O)c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)c2ccccc2)cc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1
12862,CCCCCCC1(CCCCCC)c2cc(-c3nc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4cc(-n6c7ccc(C(C)(C)C)cc7c7cc(C(C)(C)C)ccc76)ccc4-5)nc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4cc(-n6c7ccc(C(C)(C)C)cc7c7cc(C(C)(C)C)ccc76)ccc4-5)n3)ccc2-c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc21
12867,CCCCCCC1(CCCCCC)c2cc(-c3nc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4cc(N6c7ccccc7Oc7ccccc76)ccc4-5)nc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4cc(N6c7ccccc7Oc7ccccc76)ccc4-5)n3)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21
12872,CCCCCCC1(CCCCCC)c2cc(-c3nc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4cc(N6c7ccccc7Sc7ccccc76)ccc4-5)nc(-c4ccc5c(c4)C(CCCCCC)(CCCCCC)c4cc(N6c7ccccc7Sc7ccccc76)ccc4-5)n3)ccc2-c2ccc(N3c4ccccc4Sc4ccccc43)cc21
12880,C=CC#N
13300,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3nnc(-c4ccc(-n5c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)ccc65)cc4)o3)cc21
13301,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3nnc(-c4cccc(-n5c6ccc(C(C)(C)C)cc6c6cc(C(C)(C)C)ccc65)c4)o3)cc21
13330,CCC(C)=O
13379,CCCCCCc1ccc(-n2c3[n+](c4c5ccccc5c5ccccc5c42)[B-](C)(C)c2ccccc2-3)cc1
13384,CCCCCCc1ccc(-n2c3[n+](c4c5ccccc5c5ccccc5c42)[B-](C)(C)c2ccc4ccccc4c2-3)cc1
13389,CCCCCCc1ccc(-n2c3[n+](c4c5ccccc5c5ccccc5c42)[B-](C)(C)c2cc(-n4c5ccccc5c5ccccc54)ccc2-3)cc1
13394,CCCCCCc1ccc(-n2c3[n+](c4c5ccccc5c5ccccc5c42)[B-](C)(C)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)cc1
13453,N#Cc1ccc(C=C(c2ccccc2)c2ccccc2)cc1
13454,COc1ccc(C(=Cc2ccc(C#N)cc2)c2ccc(OC)cc2)cc1
13455,CN(C)c1ccc(C(=Cc2ccc(C#N)cc2)c2ccc(N(C)C)cc2)cc1
13456,O=Cc1ccc(C=C(c2ccccc2)c2ccccc2)cc1
13457,COc1ccc(C(=Cc2ccc(C=O)cc2)c2ccc(OC)cc2)cc1
13458,CN(C)c1ccc(C(=Cc2ccc(C=O)cc2)c2ccc(N(C)C)cc2)cc1
13459,N#Cc1ccc(/C=C/c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1
13460,COc1ccc(C(=Cc2ccc(/C=C/c3ccc(C#N)cc3)cc2)c2ccc(OC)cc2)cc1
13461,CN(C)c1ccc(C(=Cc2ccc(/C=C/c3ccc(C#N)cc3)cc2)c2ccc(N(C)C)cc2)cc1
13462,N#C/C(=C\c1ccc(C=C(c2ccccc2)c2ccccc2)cc1)c1ccccc1
13463,COc1ccc(C(=Cc2ccc(/C=C(\C#N)c3ccccc3)cc2)c2ccc(OC)cc2)cc1
13464,CN(C)c1ccc(C(=Cc2ccc(/C=C(\C#N)c3ccccc3)cc2)c2ccc(N(C)C)cc2)cc1
13465,N#C/C(=C\c1ccc(C=C(c2ccccc2)c2ccccc2)cc1)c1ccc([N+](=O)[O-])cc1
13466,COc1ccc(C(=Cc2ccc(/C=C(\C#N)c3ccc([N+](=O)[O-])cc3)cc2)c2ccc(OC)cc2)cc1
13642,CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3ccccc3)ccc21
13643,CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3ccc(C#N)cc3)ccc21
13644,CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3cccc4ccccc34)ccc21
13645,CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(-c3ccc(OC)cc3)ccc21
13646,CCN1c2ccc(/C=N/Nc3ccccn3)cc2Sc2cc(/C=N/Nc3ccccn3)ccc21
13713,CCN(CC)c1ccc(/C=N/Nc2ccc(C#N)cc2)c(O)c1
13714,N#Cc1ccc(N/N=C/c2cc([N+](=O)[O-])ccc2O)cc1
13715,N#Cc1ccc(N/N=C/c2cc(Cl)ccc2O)cc1
13716,N#Cc1ccc(N/N=C/c2ccc3ccccc3c2O)cc1
13717,C/C(=N\Nc1ccc(C#N)cc1)c1ccccn1
13718,C/C(=N\Nc1ccc(C#N)cc1)c1cccc(/C(C)=N/Nc2ccc(C#N)cc2)c1
13719,COc1c(/C=N/Nc2ccc(C#N)cc2)ccc2ccccc12
13745,CCN(CC)c1ccc(C(=C(c2ccccc2)c2ccc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)cc2)c2ccc(N(CC)CC)cc2)cc1
13746,CCN(CC)c1ccc(C(=C(c2ccc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)cc2)c2ccc(B(c3c(C)cc(C)cc3C)c3c(C)cc(C)cc3C)cc2)c2ccc(N(CC)CC)cc2)cc1
13783,O=C1c2cc(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)cc2C(=O)N1c1ccccc1
13979,C[Si]1(c2ccccc2)C(c2ccc3c4ccccc4n(-c4ccccc4)c3c2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccc2c3ccccc3n(-c3ccccc3)c2c1
13980,C[Si]1(c2ccccc2)C(c2ccc3c(c2)c2ccccc2n3-c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccc2c(c1)c1ccccc1n2-c1ccccc1
13981,C[Si]1(c2ccccc2)C(c2ccc(-n3c4ccccc4c4ccccc43)cc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccc(-n2c3ccccc3c3ccccc32)cc1
13995,Cc1ccccc1Oc1ccc2c3c(cccc13)C(=O)N(CCO)C2=O
13996,O=Cc1ccc(Oc2ccc3c4c(cccc24)C(=O)N(CCO)C3=O)cc1
13997,N#Cc1ccc(Oc2ccc3c4c(cccc24)C(=O)N(CCO)C3=O)cc1
13998,CC(=O)OCCN1C(=O)c2cccc3c(Oc4ccccc4C)ccc(c23)C1=O
13999,CC(=O)OCCN1C(=O)c2cccc3c(Oc4ccc(C=O)cc4)ccc(c23)C1=O
14000,CC(=O)OCCN1C(=O)c2cccc3c(Oc4ccc(C#N)cc4)ccc(c23)C1=O
14041,Cc1ccc(-c2cc3ccccc3oc2=O)cc1
14042,COc1ccc2cc(-c3ccc(C)cc3)c(=O)oc2c1
14043,CCOc1ccc2cc(-c3ccc(C)cc3)c(=O)oc2c1
14044,CCCCOc1ccc2cc(-c3ccc(C)cc3)c(=O)oc2c1
14199,CCCCn1c2ccc(/C=C(\C#N)c3ccc([N+](=O)[O-])cc3)cc2c2cc(Cn3c(-c4ccc5c(c4)c4ccccc4n5CCCC)nc4ccccc43)ccc21
14300,CC(C)(C)c1ccc(-c2cc3c4c(c2)CCc2cc(-c5ccc(C(C)(C)C)cc5)cc(c2-4)CC3)cc1
14301,COc1ccc(-c2cc3c4c(c2)CCc2cc(-c5ccc(OC)cc5)cc(c2-4)CC3)cc1
14302,Fc1ccc(-c2cc3c4c(c2)CCc2cc(-c5ccc(F)cc5)cc(c2-4)CC3)cc1
14303,CC(C)(C)c1ccc(-c2cc3ccc4cc(-c5ccc(C(C)(C)C)cc5)cc5ccc(c2)c3c45)cc1
14304,COc1ccc(-c2cc3ccc4cc(-c5ccc(OC)cc5)cc5ccc(c2)c3c45)cc1
14305,Fc1ccc(-c2cc3ccc4cc(-c5ccc(F)cc5)cc5ccc(c2)c3c45)cc1
14319,F[B-]1(F)n2c(-c3ccccc3)cnc2-c2cccc[n+]21
14336,O=C1c2cc(-c3ccccc3)ccc2-c2ccc(-c3ccccc3)cc21
14337,CC(=O)c1ccc(-c2ccc3c(c2)C(=O)c2cc(-c4ccc(C(C)=O)cc4)ccc2-3)cc1
14338,O=Cc1ccc(-c2ccc3c(c2)C(=O)c2cc(-c4ccc(C=O)cc4)ccc2-3)cc1
14339,COC(=O)c1ccc(-c2ccc3c(c2)C(=O)c2cc(-c4ccc(C(=O)OC)cc4)ccc2-3)cc1
14345,C(/C=C/Nc1ccccc1)=[NH+]c1ccccc1
14346,Cc1ccc(N/C=C/C=[NH+]c2ccc(C)cc2)cc1
14347,Brc1ccc(N/C=C/C=[NH+]c2ccc(Br)cc2)cc1
14348,O=[N+]([O-])c1ccc(N/C=C/C=[NH+]c2ccc([N+](=O)[O-])cc2)cc1
14349,C(/C=C/Nc1cccc2ccccc12)=[NH+]c1cccc2ccccc12
14364,C(=C/c1c2ccccc2cc2ccccc12)\c1c2ccccc2cc2ccccc12
14366,C(=C/c1cc2ccccc2c2ccccc12)\c1c2ccccc2cc2ccccc12
14368,C(=C/c1cc2ccccc2c2ccccc12)\c1cc2ccccc2c2ccccc12
14389,CC(C)(C)c1ccc(C2=C(c3ccc(-n4c5ccccc5c5ccccc54)cc3)S(=O)(=O)c3c2sc(-c2ccc(-n4c5ccccc5c5ccccc54)cc2)c3-c2ccc(C(C)(C)C)cc2)cc1
14390,CC(C)(C)c1ccc(C2=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)S(=O)(=O)c3c2sc(-c2ccc(N(c4ccccc4)c4ccccc4)cc2)c3-c2ccc(C(C)(C)C)cc2)cc1
14391,CC(C)(C)c1ccc(C2=C(c3ccc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)cc3)S(=O)(=O)c3c2sc(-c2ccc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)cc2)c3-c2ccc(C(C)(C)C)cc2)cc1
14392,CC(C)(C)c1ccc(C2=C(c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)S(=O)(=O)c3c2sc(-c2ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc2)c3-c2ccc(C(C)(C)C)cc2)cc1
14423,Cc1cc(C)c(B(c2ccc3c(c2)c2cc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)ccc2n3-c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)c2c(C)cc(C)cc2C)c(C)c1
14493,O=P1(c2ccccc2)C(c2cccs2)=C(c2cccs2)c2ccccc21
14494,O=P1(c2ccccc2)C(c2ccsc2)=C(c2ccsc2)c2ccccc21
14495,Cc1cc(C2=C(c3cc(C)sc3C)P(=O)(c3ccccc3)c3ccccc32)c(C)s1
14496,O=S1(=O)C(c2cccs2)=C(c2cccs2)c2ccccc21
14497,O=S1(=O)C(c2ccsc2)=C(c2ccsc2)c2ccccc21
14498,Cc1cc(C2=C(c3cc(C)sc3C)S(=O)(=O)c3ccccc32)c(C)s1
14524,CN(C)c1ccc(-c2cccc3nsnc23)cc1
14525,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2nsnc2c1
14526,C(#Cc1cccc2nsnc12)c1ccc(-n2c3ccccc3c3ccccc32)cc1
14540,CCC1(CC)c2cc(-c3ccc(N(c4ccc(-c5ccc6c(c5)C(CC)(CC)c5cc(N7c8ccccc8C(C)(C)c8ccccc87)ccc5-6)cc4)c4ccc(-c5ccc6c(c5)C(CC)(CC)c5cc(N7c8ccccc8C(C)(C)c8ccccc87)ccc5-6)cc4)cc3)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21
14735,c1ccc(-c2nc(-c3ccc(-c4cncc5ccccc45)cc3)[nH]c2-c2ccccc2)cc1
14736,COc1ccc(-n2c(-c3ccc(-c4cncc5ccccc45)cc3)nc(-c3ccccc3)c2-c2ccccc2)cc1
14737,c1ccc2c(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5[nH]4)cc3)cncc2c1
14738,COc1ccc(-n2c(-c3ccc(-c4cncc5ccccc45)cc3)nc3c4ccccc4c4ccccc4c32)cc1
14745,O=P(c1ccccc1)(c1ccccc1)c1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc1
14746,O=P(c1ccccc1)(c1ccccc1)c1ccc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)cc1
14747,O=P(c1ccccc1)(c1ccccc1)c1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cc1
14792,c1ccc(-c2c3ccccc3c(-c3ccc(-c4cccnc4)cc3)c3ccccc23)cc1
14793,c1cncc(-c2ccc(-c3c4ccccc4c(-c4ccc(-c5cccnc5)cc4)c4ccccc34)cc2)c1
14794,c1cncc(-c2ccc(-c3c4ccccc4c(-c4ccc(-c5cccnc5)cc4)c4cc(-c5cccnc5)ccc34)cc2)c1
14795,c1cncc(-c2ccc(-c3c4ccc(-c5cccnc5)cc4c(-c4ccc(-c5cccnc5)cc4)c4ccc(-c5cccnc5)cc34)cc2)c1
14840,c1ccc(-c2nc3ccccc3nc2-c2cc(-c3nc4ccccc4nc3-c3ccccc3)cc(-n3c4ccccc4c4ccccc43)c2)cc1
14841,CC(C)(C)c1ccc(-c2nc3ccccc3nc2-c2cc(-c3nc4ccccc4nc3-c3ccc(C(C)(C)C)cc3)cc(-n3c4ccccc4c4ccccc43)c2)cc1
14842,c1ccc(-c2nc3ccccc3nc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1
14843,c1ccc(-c2nc3ccccc3nc2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1
14894,C(=C/c1c2ccccc2cc2ccccc12)\c1ccc(Oc2ccc3ccccc3c2-c2c(Oc3ccc(/C=C/c4c5ccccc5cc5ccccc45)cc3)ccc3ccccc23)cc1
14895,C(=C/c1ccc(-c2ccccc2)cc1)\c1ccc(Oc2ccc3ccccc3c2-c2c(Oc3ccc(/C=C/c4ccc(-c5ccccc5)cc4)cc3)ccc3ccccc23)cc1
14896,C(=C/c1cccc2ccccc12)\c1ccc(Oc2ccc3ccccc3c2-c2c(Oc3ccc(/C=C/c4cccc5ccccc45)cc3)ccc3ccccc23)cc1
15070,c1ccc(-n2c(-c3ccc(-c4ccc5c(c4)C4(c6ccccc6-c6ccccc64)c4cc(-c6ccc(-c7nc8ccccc8n7-c7ccccc7)cc6)c6ccccc6c4-5)cc3)nc3ccccc32)cc1
15071,c1ccc(-n2c(-c3ccc(-c4ccc5c(c4)C4(c6ccccc6-5)c5ccccc5-c5ccc(-c6ccc(-c7nc8ccccc8n7-c7ccccc7)cc6)c6cccc4c56)cc3)nc3ccccc32)cc1
15086,F[B-]1(F)OC(c2ccccc2)=Nc2sc(-c3ccccc3)n[n+]21
15088,COc1ccc(C2=Nc3sc(-c4ccccc4)n[n+]3[B-](F)(F)O2)cc1
15091,COc1ccc(-c2n[n+]3c(s2)N=C(c2ccccc2)O[B-]3(F)F)cc1
15210,O=S1(=O)c2ccc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)cc2C2(c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)ccc31)c1cc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)ccc1S(=O)(=O)c1ccc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)cc12
15239,O=C1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21
15240,N#Cc1ccc(-c2ccc3c(c2)C(=O)c2cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc2-3)cc1
15241,CCOc1c(Nc2ccccc2-c2nc3ccccc3s2)c(=O)c1=O
15242,O=c1c(Cl)c(Nc2ccccc2-c2nc3ccccc3s2)c1=O
15243,O=C1C(Cl)=C(Nc2ccccc2-c2nc3ccccc3s2)C1(Cl)Cl
15380,c1ccc(N2N=C(c3cccc4ccccc34)CC2c2ccc3ccc4cccc5ccc2c3c45)cc1
15381,c1ccc(N2N=C(c3c4ccccc4cc4ccccc34)CC2c2ccc3ccc4cccc5ccc2c3c45)cc1
15382,c1ccc(N2N=C(c3ccc4ccc5cccc6ccc3c4c56)CC2c2ccc3ccc4cccc5ccc2c3c45)cc1
15411,c1ccc(-n2nc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)nc2-c2ccccn2)cc1
15412,c1ccc(-n2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2-c2ccccn2)cc1
15413,CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccccn4)n(-c4ccccc4)n3)cc2)c2ccccc21
15414,c1ccc(-c2nc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)nn2-c2ccc(N3c4ccccc4Sc4ccccc43)cc2)nc1
15415,c1ccc(-c2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nn2-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)nc1
15416,CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccccn4)n(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)n3)cc2)c2ccccc21
15418,c1ccc(-c2cc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cc(-c6ccccn6)nc(-c6ccccn6)c5)ccc3-4)cc(-c3ccccn3)n2)nc1
15424,O=P(c1ccccc1)(c1ccccc1)c1ccc2oc3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3c2c1
15431,Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2c1ccc2c(c1)Sc1ccccc1B2c1c(C(C)C)cc(C(C)C)cc1C(C)C
15434,Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2c1ccc2c(c1)Oc1ccccc1B2c1c(C(C)C)cc(C(C)C)cc1C(C)C
